"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
219,400294.008,3876536.009,1.136,0.1607,35.043,0.1608,35.079,0.7,1.3,1
220,400294.108,3876535.883,1.135,0.1607,35.203,0.1607,35.24,0.3,0.6,1
221,400294.209,3876535.757,1.133,0.1607,35.364,0.1608,35.401,0.5,0.9,1
222,400294.309,3876535.632,1.133,0.1607,35.525,0.1607,35.562,0.2,0.4,1
223,400294.409,3876535.506,1.133,0.1607,35.686,0.1607,35.722,0.1,0.1,1
224,400294.509,3876535.380,1.134,0.1607,35.846,0.1608,35.883,0.4,0.7,1
225,400294.610,3876535.255,1.136,0.1607,36.007,0.1608,36.044,0.7,1.2,1
226,400294.710,3876535.129,1.137,0.1607,36.168,0.1608,36.205,0.5,0.9,1
227,400294.810,3876535.003,1.14,0.1607,36.329,0.1608,36.365,0.8,1.3,1
228,400294.910,3876534.878,1.141,0.1607,36.489,0.1608,36.526,0.4,0.7,1
229,400295.010,3876534.752,1.142,0.1607,36.65,0.1608,36.687,0.5,0.8,1
230,400295.111,3876534.627,1.142,0.1607,36.811,0.1607,36.848,0.0,0.1,1
231,400295.211,3876534.501,1.142,0.1607,36.972,0.1607,37.008,0.0,0.0,1
232,400295.311,3876534.375,1.142,0.1607,37.132,0.1607,37.169,0.1,0.2,1
233,400295.411,3876534.250,1.142,0.1607,37.293,0.1607,37.33,0.0,0.0,1
234,400295.511,3876534.124,1.143,0.1607,37.454,0.1607,37.491,0.2,0.3,1
235,400295.612,3876533.998,1.144,0.1607,37.615,0.1607,37.651,0.3,0.5,1
236,400295.712,3876533.873,1.145,0.1607,37.775,0.1607,37.812,0.3,0.6,1
237,400295.812,3876533.747,1.146,0.1607,37.936,0.1608,37.973,0.7,1.1,1
238,400295.912,3876533.622,1.149,0.1607,38.097,0.1608,38.134,0.8,1.3,1
239,400296.012,3876533.496,1.152,0.1607,38.258,0.1608,38.295,1.1,1.9,1
240,400296.113,3876533.370,1.154,0.1607,38.418,0.1608,38.455,1.0,1.7,1
241,400296.213,3876533.245,1.158,0.1607,38.579,0.1608,38.616,1.1,1.9,1
242,400296.313,3876533.119,1.161,0.1607,38.74,0.1608,38.777,1.1,1.8,1
243,400296.413,3876532.993,1.163,0.1607,38.901,0.1608,38.938,0.8,1.3,1
244,400296.513,3876532.868,1.164,0.1607,39.061,0.1608,39.098,0.5,0.9,1
